Plant,Family,Latin,genus,specific,phylomatsp,phylomat,Category,Dish,Type
cranberry,Ericaceae,Vaccinium macrocarpon,Vaccinium,macrocarpon,Vaccinium_macrocarpon,ericaceae/vaccinium/Vaccinium_macrocarpon,side,cranberry sauce,primary
celery,Apiaceae,Apium graveolens,Apium,graveolens,Apium_graveolens,apiaceae/apium/Apium_graveolens,side,dressing,ingredient
apple (Baldwin),Rosaceae,Malus x domestica 'Baldwin',Malus,domestica1,Malus_domestica1,rosaceae/malus/Malus_domestica1,multiple,pie; dressing,primary
apple (Granny Smith),Rosaceae,"Malus x domestica 'Granny Smith""",Malus,domestica2,Malus_domestica2,rosaceae/malus/Malus_domestica2,multiple,pie; dressing,primary
allspice,Myrtaceae,Pimenta dioica,Pimenta,dioica,Pimenta_dioica,myrtaceae/pimenta/Pimenta_dioica,dessert,pie,spice
onion,Amaryllidaceae,Allium cepa,Allium,cepa,Allium_cepa,amaryllidaceae/allium/Allium_cepa,side,dressing,ingredient
wheat,Poaceae,Triticum aestivum,Triticum,aestivum,Triticum_aestivum,poaceae/triticum/Triticum_aestivum,multiple,pie; dressing; gravy,ingredient
rosemary,Lamiaceae,Rosmarinus officinalis,Rosmarinus,officinalis,Rosmarinus_officinalis,lamiaceae/rosmarinus/Rosmarinus_officinalis,multiple,dressing; turkey,herb
parsley,Apiaceae,Petroselinum crispum,Petroselinum,crispum,Petroselinum_crispum,apiaceae/petroselinum/Petroselinum_crispum,side,dressing,herb
sage,Lamiaceae,Salvia officinalis,Salvia,officinalis,Salvia_officinalis,lamiaceae/salvia/Salvia_officinalis,side,dressing,herb
sugar,Poaceae,Saccharium officinarum,Saccharium,officinarum,Saccharium_officinarum,poaceae/saccharium/Saccharium_officinarum,multiple,dressing; cranberry sauce; pie,ingredient
soy,Fabaceae,Glycine max,Glycine,max,Glycine_max,fabaceae/glycine/Glycine_max,side,dressing,ingredient
canola,Brassicaceae,Brassica napus,Brassica,napus,Brassica_napus,brassicaceae/brassica/Brassica_napus,multiple,all cookware,ingredient
cinnamon,Lauraceae,Cinnamomum verum,Cinnamomum,verum,Cinnamomum_verum,lauraceae/cinnamomum/Cinnamomum_verum,dessert,pie,spice
cassia,Lauraceae,Cinnamomum cassia,Cinnamomum,cassia,Cinnamomum_cassia,lauraceae/cinnamomum/Cinnamomum_cassia,dessert,pie,spice
cassava,Euphorbiaceae,Manihot esculenta,Manihot,esculenta,Manihot_esculenta,euphorbiaceae/manihot/Manihot_esculenta,dessert,pie,ingredient
blueberry,Ericaceae,Vaccinium corymbosum,Vaccinium,corymbosum,Vaccinium_corymbosum,ericaceae/vaccinium/Vaccinium_corymbosum,dessert,pie,primary
lemon,Rutaceae,Citrus limon,Citrus,limon,Citrus_limon,rutaceae/citrus/Citrus_limon,dessert,pie,ingredient
potato,Solanaceae,Solanum tuberosum,Solanum,tuberosum,Solanum_tuberosum,solanaceae/solanum/Solanum_tuberosum,side,mashed potatoes; potato rolls,primary
butternut squash,Cucurbitaceae,Cucurbita moschata,Cucurbita,moschata,Cucurbita_moschata,cucurbitaceae/cucurbita/Cucurbita_moschata,side,roasted squash,primary
peas,Fabaceae,Pisum sativum,Pisum,sativum,Pisum_sativum,fabaceae/pisum/Pisum_sativum,side,peas,primary
cucumber,Cucurbitaceae,Cucumis sativus,Cucumis,sativus,Cucumis_sativus,cucurbitaceae/cucumis/Cucumis_sativus,side,sweet pickles,primary
olives,Oleaceae,Olea europaea,Olea,europaea,Olea_europaea,oleaceae/olea/Olea_europaea,side,olives,primary
nutmeg,Myristicaceae,Myristica fragrans,Myristica,fragrans,Myristica_fragrans,myristicaceae/myristica/Myristica_fragrans,dessert,pie,spice
cloves,Myrtaceae,Syzygium aromaticum,Syzygium,aromaticum,Syzygium_aromaticum,myrtaceae/syzygium/Syzygium_aromaticum,dessert,pie,spice
coffee,Rubiaceae,Coffea arabica,Coffea,arabica,Coffea_arabica,rubiaceae/coffea/Coffea_arabica,beverage,beverage,primary
tea,Theaceae,Camelia sinensis,Camelia,sinensis,Camelia_sinensis,theaceae/camelia/Camelia_sinensis,beverage,beverage,primary
corn,Poaceae,Zea mays,Zea,mays,Zea_mays,poaceae/zea/Zea_mays,side,potato rolls,ingredient
maple,Sapindaceae,Acer saccharum,Acer,saccharum,Acer_saccharum,sapindaceae/acer/Acer_saccharum,side,roasted squash,ingredient
pepper,Piperaceae,Piper nigrum,Piper,nigrum,Piper_nigrum,piperaceae/piper/Piper_nigrum,multiple,stuffing; turkey,spice
thyme,Lamiaceae,Thymus vulgaris,Thymus,vulgaris,Thymus_vulgaris,lamiaceae/thymus/Thymus_vulgaris,multiple,stuffing; turkey,herb
marjoram,Lamiaceae,Origanum majorana,Origanum,majorana,Origanum_majorana,lamiaceae/origanum/Origanum_majorana,multiple,stuffing; turkey,herb
cardamom,Zingiberaceae,Elettaria cardamomum,Elettaria,cardamomum,Elettaria_cardamomum,zingiberaceae/elettaria/Elettaria_cardamomum,dessert,pie,spice
ginger,Zingiberaceae,Zingiber officinale,Zingiber,officinale,Zingiber_officinale,zingiberaceae/zingiber/Zingiber_officinale,dessert,pie,spice
